tag2,count,percentage
en:drink-food,1,0.0
it:fromages-a-tartiner,1,0.0
fr:sauce-pour-marine,1,0.0
en:crystal-farms,1,0.0
fr:artichauts-marines,1,0.0
en:sandwitch,1,0.0
en:cheese-diet,1,0.0
de:english-inegums,1,0.0
it:alimenti-a-base-vegetale,1,0.0
it:crackers-sesamo-e-chia,1,0.0
de:thunfisch-in-eigenem-saft,1,0.0
fr:tartinables-de-poulet,1,0.0
es:marisco-cocido,1,0.0
en:chicken-stuffing-sandwiches,1,0.0
en:organic-mixed-bean-soup,1,0.0
th:drinkable-whey,1,0.0
fr:penne-becs-de-plumes,1,0.0
de:thunfisch-im-glas,1,0.0
sv:shot,1,0.0
it:mix-frutta-secca-fitness,1,0.0
es:fideos-secos,1,0.0
fr:soupe-plat-prepare,1,0.0
en:glutenfree-pasta,1,0.0
en:wrap-chicken-cheese,1,0.0
pl:krowie,1,0.0
uk:see-food,1,0.0
sk:polomačana-mliečna-oblatka-s-čokoladovou-polevou,1,0.0
fr:caroubier,1,0.0
en:beef-tenderloin-steak,1,0.0
bg:с,1,0.0
it:tortellini-ai-funghi-porcini,1,0.0
en:sip-feed,1,0.0
fr:dessert-de-pomme-et-de-passion,1,0.0
es:pes,1,0.0
fr:jambons-speck,1,0.0
fr:chocolat-en-baton,1,0.0
de:vegetarische-schnitzel,1,0.0
de:melasse-malze,1,0.0
pl:pomidory-w-oleju,1,0.0
en:laitues,1,0.0
en:prepared-sauce,1,0.0
en:dried-date-pulp-and-peel,1,0.0
tr:çilekli-2-1-yağlı-yoğurt,1,0.0
hr:masti-9-g-od-kojih-masne-kiseline-1,1,0.0
en:burro-di-arachidi,1,0.0
en:crepes-und-galetten,1,0.0
en:draje-sakız,1,0.0
en:black-beans-in-salted-water,1,0.0
fr:coquillettes-au-jambon-gruyere-et-comte,1,0.0
de:heringsfilets-in-marinade,1,0.0
bg:filoteig-gefüllt,1,0.0
fr:miels-de-pommier,1,0.0
fr:yaourts-natures-a-la-poire,1,0.0
es:humus,1,0.0
en:nudlar,1,0.0
fr:nappages-au-chocolat,1,0.0
ru:каши-быстрого-приготовления,1,0.0
en:elk,1,0.0
en:health-bars,1,0.0
it:grano-saraceno-soffiato,1,0.0
fr:feuilletes-surgeles,1,0.0
en:banana-flowers-in-brine,1,0.0
fr:fromage-rapee,1,0.0
ro:înghețată-cu-ciocolată,1,0.0
fr:jambons-crus-en-tranches,1,0.0
nl:gehakt,1,0.0
ru:шоколадное-яйцо,1,0.0
en:orange-marmalade-fruit-spread,1,0.0
de:broccoli-tiefgefroren,1,0.0
en:condement,1,0.0
ru:хлопья-гречневые,1,0.0
pt:barras-de-careais,1,0.0
nl:kletskoppen,1,0.0
nl:kant-en-klaar-dahl,1,0.0
ru:bizcochos,1,0.0
en:beef-jarky,1,0.0
en:truffle-pasta,1,0.0
it:fette-biscottate-con-farro,1,0.0
nl:gearomatiseerde-tortillas,1,0.0
fr:gaufres-aux-cerises,1,0.0
de:bratnu,1,0.0
fr:galettes-au-son-d-avoine-finement-salees-bio,1,0.0
pt:cha-de-maca,1,0.0
fr:creme-d-amande-crue-complt,1,0.0
pl:makaron-pad-thai,1,0.0
it:spinaci-surgelati-delizie-del-sole,1,0.0
cs:tavené-sýry,1,0.0
en:pea-snacks,1,0.0
en:pre-sliced-multigrain-flat-sandwich-buns,1,0.0
fr:quenelle-de-pommes-de-terre,1,0.0
hr:bbq-umaci,1,0.0
it:casarecce-tumminia,1,0.0
de:biscuits-sucrés-biscuits-apéritifs,1,0.0
ro:lapte-de-consum,1,0.0
en:concentrated,1,0.0
en:wurst-aufschnitt,1,0.0
en:whole-grain-tortilla-chips,1,0.0
fr:chips-de-pommes-de-terre-epicee,1,0.0
en:fresh-cherry-tomatoes,1,0.0
cy:blawd-cyflawn,1,0.0
en:poissons-surgeles,1,0.0
en:muffins-aux-fruits-rouges,1,0.0
fr:cafe-arabica-en-grains,1,0.0
it:fette-biscottate-colazione,1,0.0
en:soy-chips,1,0.0
de:chiasamen,1,0.0
en:hałwa,1,0.0
en:patatine-e-fritti,1,0.0
it:lievito-in-fiocchi,1,0.0
it:prodotti-a-base-di-cereali,1,0.0
fr:pates-pour-enfant,1,0.0
nl:vitamindrink,1,0.0
en:president-brie,1,0.0
fr:viandes-de-daim,1,0.0
fr:croissants-precuits,1,0.0
fr:mimolette-en-tranches,1,0.0
el:corn-flour-chips,1,0.0
fr:matieres-grasses-vegetales-a-tartiner,1,0.0
fr:merguez-surgelees,1,0.0
fr:lapins-chasseurs-aux-pommes-de-terre,1,0.0
fr:speculoos-tendres,1,0.0
en:mushroom-stock,1,0.0
it:pasta-pronta,1,0.0
en:white-pitta-bread,1,0.0
en:pork-collar,1,0.0
fr:charcuteries-fraiches,1,0.0
fr:sables-champenois,1,0.0
en:concentrat-cranberries,1,0.0
de:kichererbsensuppe,1,0.0
cs:sacharidy-0-6,1,0.0
lt:bandelė-su-varške,1,0.0
en:frozen-whole-broad-green-beans,1,0.0
fr:10000,1,0.0
en:reiswaffel,1,0.0
nb:snitzel,1,0.0
en:roast-chicken-and-salad-sandwitch,1,0.0
de:pfirsiche-in-dosen,1,0.0
fr:bouchees-galettes,1,0.0
es:pipes-aigua-sal-torrades,1,0.0
lt:tarpučiai,1,0.0
fr:ketchup-bio,1,0.0
nl:kruidencreme,1,0.0
fr:sandwich-multicereal,1,0.0
en:cheddar-cheese-sticks,1,0.0
fr:cereales-au-chocolat-pour-petit-dejeuner,1,0.0
fr:preparation-epeautre-et-haricots,1,0.0
fr:nuts-fruirs-secs,1,0.0
fr:chocolat-snack,1,0.0
nb:ferdigdessert,1,0.0
fr:gateau-dauphinois,1,0.0
fr:desserts-lacte-pralines,1,0.0
en:fresh-chicken-schawarma,1,0.0
fr:vier-kase-pizza,1,0.0
fr:yaourt-brasse-yaourt-aux-fruits,1,0.0
en:fresh-pork,1,0.0
it:marmellata-di-clementine,1,0.0
en:samourai,1,0.0
en:light-syrup-sweetener,1,0.0
de:lachs-aus-aquakultur,1,0.0
en:hummus-chips-sea-salt-flavour,1,0.0
sv:kebabstavar,1,0.0
en:super-seeded-peanut-butter,1,0.0
en:grønnkal,1,0.0
en:frozen-chicken-skewers,1,0.0
hu:pisa,1,0.0
en:dehydrated-and-reconstituted-broth-with-meat-and-vegetables,1,0.0
en:chilli-mayonnaise,1,0.0
de:molkerei,1,0.0
en:pizza-in-festa-friggitelli-sott-olio,1,0.0
sv:växtbaserad-pinnglass,1,0.0
de:kartoffelch,1,0.0
sl:sojini-polpeti,1,0.0
fr:snack-de-quinoa,1,0.0
en:leche-entera-leches-lacteos,1,0.0
en:poultry-patties,1,0.0
fr:cubes-tomates-surgeles,1,0.0
fr:nappage-au-caramel-au-lait,1,0.0
es:chocolatinas,1,0.0
en:bolognaise-sauce,1,0.0
en:sports-nutrition-supplements,1,0.0
it:organic,1,0.0
en:tejtermekek,1,0.0
pl:kotlet,1,0.0
en:m-s-habanero-chilli-corn-tortilla-chips,1,0.0
nl:veganistische-smeerbare-producten,1,0.0
ru:паста-арахисовая-мягкая,1,0.0
de:tiefkühl-erbsen,1,0.0
en:yes,1,0.0
nb:cashewnøtter,1,0.0
cs:tvarohová-pomazánka,1,0.0
en:chocolated-nuts,1,0.0
cs:ovocná-šťáva,1,0.0
en:pappadam,1,0.0
en:ukrainian-bread,1,0.0
en:gesiers,1,0.0
de:entsteinte-kirschen,1,0.0
sk:oblatky,1,0.0
pt:sopa-em-po,1,0.0
de:sauces-pour-viandes,1,0.0
uk:1,1,0.0
hu:kukoricapehely,1,0.0
en:bagged-salad,1,0.0
fr:mijote-de-porc,1,0.0
en:spicy-ketchup,1,0.0
en:kasvipohjaiset-ruuat,1,0.0
de:vegan-käse,1,0.0
nl:kruidnootjes,1,0.0
en:frozen-scallops-without-coral,1,0.0
en:snacks-snacks-sucres-confiseries-festive-foods-aliments-et-boissons-de-noel-confiseries-de-noel-touron-tourons-aux-cacahuetes-tourons-cremeux-aux-cacahuetes,1,0.0
en:koka-noodles-beef,1,0.0
fr:poitrine-de-porc-assaisonne,1,0.0
fr:petites-tartines-legeres-et-craquantes,1,0.0
fr:amendoins-torrados,1,0.0
en:buttery-spread,1,0.0
en:dairy-sub,1,0.0
fr:mais-souffle-a-la-cacahuete,1,0.0
ru:nutri-score,1,0.0
pl:niskosłodzony,1,0.0
pl:olej-z-pestek-winogron,1,0.0
nb:rusbrus,1,0.0
en:irish-ham,1,0.0
en:20-25-fat-thick-cream,1,0.0
es:crema-de-york,1,0.0
ru:йогурт-фисташковый,1,0.0
pt:chourico-de-carne-corrente,1,0.0
fr:tartes-surgelees-salees,1,0.0
en:sliced-prague-ham,1,0.0
es:sopa-maruchan,1,0.0
en:desserts-vanille,1,0.0
fr:cassolette-de-poissons,1,0.0
et:mahlad,1,0.0
en:chocolate-pastry,1,0.0
en:oat-cereal-bar-peanut-butter,1,0.0
en:bevande-a-base-di-frutta,1,0.0
en:boisson-proteinee,1,0.0
en:hot-smoked-sweetcure-mackerel,1,0.0
de:schokobonbons,1,0.0
en:pastilles-a-la-menthe,1,0.0
it:capesante-gratinate,1,0.0
fr:filets-de-maquereaux-au-citron,1,0.0
en:chipotle-peppers,1,0.0
en:italian-semolina-bread,1,0.0
en:tomato-stir-in-sauce,1,0.0
ro:şuncă-de-pui,1,0.0
fr:confitures-d-abricots-pays,1,0.0
it:konjac,1,0.0
lt:kaks,1,0.0
en:roasted-tuna,1,0.0
en:100-sesame-seed-paste,1,0.0
bg:протеинов-бар,1,0.0
en:milo-cereal,1,0.0
fr:paella-royale,1,0.0
en:canned-mackarel-fillets-in-tomato-sauce,1,0.0
de:blätterkrokant,1,0.0
fr:potee-d-poulet-et-de-pois-chiches-a-la-noix-de-coco,1,0.0
fr:meringues-patissieres,1,0.0
es:conser,1,0.0
es:sorbets-a-la-mangue,1,0.0
de:waffelbrot,1,0.0
en:tempura-shrimp,1,0.0
en:wild-mushroo-and-aubergine-lasagne,1,0.0
en:sauces-and-marinades,1,0.0
fr:boisson-vegetale-d-avoine,1,0.0
ca:amanida-de-cigrons,1,0.0
xx:banh,1,0.0
fr:petit-pain-ble,1,0.0
fr:1-2-baguettes-precuites,1,0.0
en:6-3-oat-products,1,0.0
de:instant-cappuccino-choco,1,0.0
fr:crepes-de-ble-au-lait-frais-entier,1,0.0
fr:sprats-fumes-de-riga,1,0.0
de:veganes-rührei,1,0.0
fr:biscuits-nature,1,0.0
en:filo-spinach-twist-pie-with-spinach-mizo-thea-and-feta-cheeses,1,0.0
es:pan-tostado-trigo-integral,1,0.0
en:cookies-creme-salted-carmel,1,0.0
en:tamari-seven-seeds-mix,1,0.0
en:carottes-surgelees,1,0.0
en:لبن,1,0.0
fr:couscous-moyen,1,0.0
es:cereal-de-arroz-con-sabor-a-vainilla,1,0.0
de:confiseries,1,0.0
fr:pains-complets-aux-graines-de-chia,1,0.0
ro:ulei-măsline-cu-busuioc,1,0.0
de:gefriergemüse,1,0.0
it:pane-tostato-con-cipolla,1,0.0
it:biscotto-a-ciambella,1,0.0
ro:amestec-de-legume,1,0.0
es:yogurt-semidescremado-sin-lactosa,1,0.0
fr:boisson-a-diluer,1,0.0
en:fried-peanuts,1,0.0
en:terracycle,1,0.0
fr:beignets-aux-pommes,1,0.0
es:con-azucar-fructosa-y-edulcorantes,1,0.0
pl:soybean-paste,1,0.0
fr:barre-de-cereales-au-chocolat-banane,1,0.0
fr:graines-de-quinoa,1,0.0
nb:plantebaserte-matvarer-og-drikkevarer,1,0.0
fr:viande-crues,1,0.0
it:visto,1,0.0
en:venison-joint,1,0.0
en:rundvleesragout,1,0.0
de:cashew-brotaufstrich,1,0.0
de:soja-geschnetzeltes,1,0.0
en:pates-a-l-encre-de-seiche,1,0.0
en:maamoul,1,0.0
nl:romaines,1,0.0
en:boissons-boissons-gazeuses-sodas-limonades,1,0.0
fr:fromage-turc-en-saumure,1,0.0
de:dorsch,1,0.0
en:taboules-a-l-huile-d-olive,1,0.0
en:instant-pasta-with-crab-and-crayfish,1,0.0
en:shrimp-gyoza,1,0.0
es:salchicha-vegetal-alemana,1,0.0
fr:cabillaud-a-l-oseille,1,0.0
fr:brioches-industrielles,1,0.0
de:apfel-johannisbeermark,1,0.0
it:gallette-farro,1,0.0
de:frischkäse-doppelrahmstufe,1,0.0
fr:sponge-cake-au-cacao,1,0.0
en:canned-drained-tuna-flaked-in-tomato-sauce,1,0.0
en:rundstykker,1,0.0
fr:pates-a-tartiner-au-chataignes,1,0.0
en:potato-mashed,1,0.0
fr:presuntos-secos,1,0.0
de:proteinmüsli,1,0.0
en:harina-de-trigo,1,0.0
en:sugar-free-butterscotch,1,0.0
fr:dessert-yaourt,1,0.0
en:marrons-cuit,1,0.0
lv:maizītes-ar-bekonu-un-olu,1,0.0
fr:mini-bagels-surgeles,1,0.0
fr:rogeret,1,0.0
en:skim-milk,1,0.0
en:maroilles-laitier-cheese,1,0.0
en:bombay-protein-mix,1,0.0
fr:beurres-aux-algues,1,0.0
fr:feijoada,1,0.0
de:pommes,1,0.0
fr:osso-buco-de-veau,1,0.0
es:bogavantes-y-langostinos,1,0.0
en:canned-mango-pulp,1,0.0
de:leberkäse-zum-backen,1,0.0
en:yellow-lentil-pasta,1,0.0
fr:chausson-a-la-viande,1,0.0
en:frozen-hash-browns,1,0.0
en:salume,1,0.0
en:bramley-apple-pie,1,0.0
en:kruidenboter,1,0.0
en:sweetened-instant-oatmeal,1,0.0
ro:cereale-cu-capsuni,1,0.0
pt:amendoins-crocantes,1,0.0
en:canned-plum-tomatoes,1,0.0
en:napoje,1,0.0
en:barbecue-sauces-d,1,0.0
fr:cookies-proteines,1,0.0
en:raw-pecans,1,0.0
en:frozen-vegan-fishfingers,1,0.0
en:farmed-gilthead-seabream,1,0.0
it:carne-maiale,1,0.0
en:barries,1,0.0
it:tramezzini-a-base-vegetale,1,0.0
en:tintern,1,0.0
fr:riz-nerone,1,0.0
fr:boisson-rafraichissante-avec-de-la-biere-sans-alcool-aromatisee-saveur-menthe-et-citron-vert,1,0.0
ro:iaurt-cu-vanilie,1,0.0
fr:fromage-de-bruxelles,1,0.0
ro:semințe-de-susan,1,0.0
en:long-grain-white-rice,1,0.0
de:calendriers-de-l-avent-en-chocolat,1,0.0
fr:gateau-au-beurre,1,0.0
en:dulcesol-carre,1,0.0
de:snackwurst,1,0.0
en:mandiopa,1,0.0
sk:bielkovinove-tyčinky,1,0.0
es:lolipop,1,0.0
fr:bouillie-d-avoine,1,0.0
cs:křehké-plátky,1,0.0
de:roggencracker,1,0.0
en:produits-laitiers-produits-fermentes-produits-laitiers-fermentes-yaourts,1,0.0
fr:plat-principale,1,0.0
fr:red-velvet-cake,1,0.0
fi:lakritsijäätelöpuikot,1,0.0
en:heringe,1,0.0
sv:organic,1,0.0
fr:cabecou-du-perigord,1,0.0
de:vergan,1,0.0
fr:epinards-a-la-creme-surgeles,1,0.0
fr:yogourt-probiotique,1,0.0
fr:salade-au-poisson,1,0.0
el:γκοφρετα-σοκολατασ-γαλακτοσ-με-φουντουκια,1,0.0
en:chocolats-fourres-aux-fruits,1,0.0
en:tomato-off-season-raw,1,0.0
en:brandade-de-morue,1,0.0
en:salteado-de-vegetais,1,0.0
en:bacon-loin-joint,1,0.0
en:roasted-salted-cashews,1,0.0
de:produkte-mit-schokoladenersatz,1,0.0
de:bio-alternative-zu-limonaden-eistee,1,0.0
fr:pates-a-cuisson-rapide,1,0.0
de:proteinco,1,0.0
nb:coop,1,0.0
sr:margarita,1,0.0
fr:clementines-bio,1,0.0
en:canned-mandarin-orange-segments-in-syrup,1,0.0
en:earth-almond,1,0.0
fr:longanes-au-sirop,1,0.0
fr:soja-yaoury,1,0.0
de:sesam-biscuits,1,0.0
ro:usturoi-pudra,1,0.0
en:hot-pepper-cream,1,0.0
en:gravy-browning,1,0.0
fr:sauce-liquide,1,0.0
es:pinol,1,0.0
en:dehydrated-bananas,1,0.0
fr:turron-aux-amandes-et-au-miel,1,0.0
fr:confiseries-a-la-liqueur,1,0.0
nl:melken,1,0.0
en:mues,1,0.0
en:lemon-bio-live-yogurt,1,0.0
de:gepuffter-mais,1,0.0
fr:graminees,1,0.0
de:marzipanpralinen,1,0.0
fr:boisson-au-jus-de-fruits,1,0.0
sv:mat-fraiche,1,0.0
en:quesos-prensados-sin-cocer,1,0.0
fr:mousse-de-canard-a-la-figue,1,0.0
en:coconut-cream-filled-wafer,1,0.0
en:nutrigrain-bar,1,0.0
en:pickled-chillies,1,0.0
de:energie-proteinriegel,1,0.0
en:vanilla-pudding-with-whipped-cream,1,0.0
en:air-dried-salami,1,0.0
en:tagliatelle-pasta,1,0.0
en:condensed-new-england-clam-chowder,1,0.0
en:hommus,1,0.0
cs:bonboniera,1,0.0
fr:preparation-pour-curry,1,0.0
hu:buzaliszt,1,0.0
fr:noix-de-cajou-ail-et-piment,1,0.0
de:essbarer-keksteig,1,0.0
de:allgäuer-art-schmelzkäsescheiben,1,0.0
en:diet-crispy-biscuit-without-chocolate,1,0.0
de:zusammengefügtes-fleisch,1,0.0
en:chocolate-coated-strawberries,1,0.0
it:pere-essiccate,1,0.0
en:brown-sugar-coated-pecans,1,0.0
fr:morbiflettes,1,0.0
en:selterswasser,1,0.0
fr:sesame-bio,1,0.0
it:ragu-di-pesce,1,0.0
en:jellybeans,1,0.0
en:truffle-hummus,1,0.0
en:tussendoortje,1,0.0
en:raw-cured-smoked-ham-with-reduced-fat,1,0.0
de:fleischalternative,1,0.0
en:gemuselasagne,1,0.0
el:παιδικές-τροφές,1,0.0
ro:carob,1,0.0
en:medium-chain-triglycerides,1,0.0
fr:compotes-pommes-mangue-ananas,1,0.0
fi:valmisriisit,1,0.0
fr:roomkazen,1,0.0
fr:viandes-de-boeuf-hachees-surgelees,1,0.0
ar:مشروبات,1,0.0
en:chicken-and-cous-cous-salad,1,0.0
en:mrs-balls,1,0.0
en:gluten-free-pizza-dough,1,0.0
fr:preparation-pasteurisee,1,0.0
de:japanese-chicken-rice-bowl,1,0.0
es:alimento-liquido-de-avena,1,0.0
en:multigrain-chips,1,0.0
en:harvest-braised-steak-onion,1,0.0
de:nudelteigtaschen-gefüllt,1,0.0
de:klare-hühnersuppe,1,0.0
de:backkakao,1,0.0
en:dried-kelp-seaweed,1,0.0
en:meadow-gold,1,0.0
en:white-chocolate-spread,1,0.0
fr:carottes-rapees-et-quinoa-legumes,1,0.0
fr:creme-glacee-vanille-amandes-caramelisees,1,0.0
en:suppenwurfel,1,0.0
en:bread-sticks-with-dairylea,1,0.0
en:cheese-triangles,1,0.0
sl:pasterizirane-mesne,1,0.0
it:yogurt-greco-al-caffe,1,0.0
fr:speculoos-extra,1,0.0
fr:uits,1,0.0
ko:파스타면,1,0.0
nl:fruityoghurts,1,0.0
en:bean-medley,1,0.0
en:whole-cherry-tomato-pasta-sauce,1,0.0
nl:vegan-pate,1,0.0
fr:ggn-4050373903558,1,0.0
en:smokehouse-turkey-and-white-cheddar-sandwich,1,0.0
en:tomato-and-onion-mix,1,0.0
en:cheese-and-celery-sandwich,1,0.0
en:plant-based-hair-conditioner,1,0.0
de:schneemann-kekse-mit-birne,1,0.0
bg:протеинов-прах,1,0.0
pl:polewa,1,0.0
en:cauliflower-frozen,1,0.0
nl:diepvries-maaltijd,1,0.0
fr:gateaux-a-la-noix-de-coco,1,0.0
en:hazelnuts-ice-creams,1,0.0
fr:yoghurt-a-la-grecque,1,0.0
fr:huile-bio,1,0.0
de:poudre-de-protéines,1,0.0
it:hamburger-equino-aldi,1,0.0
de:gemüsestäbchen,1,0.0
bg:лозови-сърми,1,0.0
en:fortune-cookie,1,0.0
ro:sandwich-break-cotlet-haiducesc,1,0.0
de:süßwaren-dekore,1,0.0
ro:jeleuri-gumate-căpșuni,1,0.0
fr:pain-artisanal-au-levain-demi-complet,1,0.0
bg:желирани-бонбони,1,0.0
en:cuisine,1,0.0
fr:vermicelle-alimentaires,1,0.0
en:produits-laitiers-produits-fermentes-desserts-produits-laitiers-fermentes-desserts-lactes-desserts-lactes-fermentes-desserts-lactes-fermentes-aux-fruits-yaourts-yaourts-aux-fruits,1,0.0
ro:mousse,1,0.0
en:chicken-strips-breaded-frozen-raw,1,0.0
en:slow-cooked-rump-steak-with-brandy,1,0.0
fr:carre-moelleux,1,0.0
sl:vegetarijanski-narezek,1,0.0
fr:poitrine-fumee,1,0.0
en:snack-sausage,1,0.0
fr:infusion-detox-romarin-frene-saveur-mandarine,1,0.0
en:crystallized-lemon,1,0.0
es:magdalenas-sin-gluten,1,0.0
fr:crouton-de-ble,1,0.0
bg:raw-bar,1,0.0
de:knisternde-zuckerware,1,0.0
en:dark-chocolate-with-italian-orange,1,0.0
en:milchprodukte-fermentierte-lebensmittel-fermentierte-milch-joghurt-beverages,1,0.0
en:melan-target,1,0.0
fr:charcuterie-corse,1,0.0
cs:bebida,1,0.0
pl:sok-malinowy,1,0.0
fr:confiserie-canada,1,0.0
en:frozen-croissants,1,0.0
de:käsetheke-frisch,1,0.0
et:saiad,1,0.0
fr:laits-uh,1,0.0
fr:cornichons-extrafins,1,0.0
fr:knr-moul-leg-autref-2x1l,1,0.0
nb:fiskekaker,1,0.0
en:fortified-sweet-snacks,1,0.0
fr:sauce-pasta,1,0.0
fr:tagliolini,1,0.0
fr:biscuits-noisettes-et-chocolat,1,0.0
nb:ferdigpizza,1,0.0
nl:banaan,1,0.0
ro:pesmet,1,0.0
ro:ready-meal-fresh,1,0.0
en:milk-and-dairy-products,1,0.0
en:tinned-meatballs,1,0.0
fr:riz-au-lait-de-brebis,1,0.0
de:estragon-senf,1,0.0
fr:dessert-100-vegetal,1,0.0
en:ready-to-serve-low-sodium-canned-lentil-soup,1,0.0
fr:collation-bebe,1,0.0
it:primi-pasti-gia-pronti,1,0.0
he:פורים,1,0.0
fr:soupe-japonaise,1,0.0
en:whole-meal-deli-rolls,1,0.0
zh:鹰嘴豆,1,0.0
en:orange-dark-chocolate-chip-pancakes,1,0.0
fr:poudre-d-acai-lyophilisee,1,0.0
en:brussels-pate,1,0.0
en:contient-lait-et-alcool,1,0.0
es:quesillo,1,0.0
it:farina-proteica,1,0.0
en:eiweisdrink,1,0.0
de:mischung,1,0.0
en:alternatives-from-beans,1,0.0
en:zh-hans-饮料,1,0.0
en:wholemeal-seeded-loaf,1,0.0
en:richeese,1,0.0
en:apple-cherry-mousse,1,0.0
en:chilli-chicken,1,0.0
fr:fondue-aux-lentilles,1,0.0
fr:cassoulet-a-la-landaise,1,0.0
fr:poires-au-jus,1,0.0
fr:chocolats-fourres-au-genepi,1,0.0
fr:pain-pre-cuit,1,0.0
fr:sans-antibiotiques,1,0.0
fr:brioche-tresse,1,0.0
en:serrano-schinken,1,0.0
en:sundried-apricots,1,0.0
fr:sauce-a-quenelle,1,0.0
en:petit-pain-grilles,1,0.0
fr:oseille-surgelee,1,0.0
en:patatine-sottili,1,0.0
sl:paštets,1,0.0
en:pouches,1,0.0
es:fecula,1,0.0
en:stonebaked-white-crusty-bloomer,1,0.0
tr:limonlu-kek,1,0.0
fr:preparation-a-base-de-chair-de-poisson-et-de-crabe,1,0.0
en:dark-chocolate-covered-raisins,1,0.0
fr:fritons-de-porc,1,0.0
en:paparadelle,1,0.0
en:cheese-scone,1,0.0
fr:jambon-sec-traditionnel,1,0.0
